execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution
18,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,2511,"[17.5,1][13.8,5][10.90909090909091,15][10.666666666666666,17][10.333333333333332,18][9.0,467][8.88888888888889,2402]"
19,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,2603,"[17.5,1][13.8,5][10.90909090909091,19][10.857142857142858,34][10.714285714285715,35][10.5,39][9.0,47]"
20,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,460,"[17.5,1][13.8,2][10.90909090909091,8][10.857142857142858,23][9.0,385][8.88888888888889,456]"
21,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,8162,"[13.8,1][10.90909090909091,44][10.857142857142858,128][9.0,349][8.88888888888889,5010]"
22,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,779,"[17.5,1][13.8,4][13.666666666666666,55][12.857142857142858,57][12.8,58][10.88888888888889,60][9.0,68]"
23,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,10.333333333333300,4358,"[17.5,1][13.8,4][12.857142857142858,29][12.8,32][10.857142857142858,130][10.333333333333332,132]"
24,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,4415,"[17.5,1][13.8,5][13.666666666666666,13][10.88888888888889,44][10.777777777777779,61][10.714285714285715,67][10.333333333333332,83][9.0,167]"
25,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,7221,"[17.5,1][13.8,26][13.666666666666666,59][10.88888888888889,74][10.333333333333332,80][9.0,81][8.88888888888889,2603]"
26,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,3812,"[13.8,1][10.90909090909091,6][10.88888888888889,8][9.0,218][8.88888888888889,3804]"
27,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,8217,"[17.5,1][13.8,13][12.857142857142858,22][12.8,42][10.857142857142858,45][10.714285714285715,72][10.666666666666666,73][9.0,81]"
28,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,10.333333333333300,509,"[17.5,1][13.8,9][13.714285714285715,30][13.666666666666666,35][12.8,72][10.88888888888889,93][10.333333333333332,100]"
29,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,9.0,6385,"[17.5,1][13.8,4][13.666666666666666,16][10.857142857142858,56][9.0,158]"
30,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,17,62328,8.88888888888889,149,"[13.8,1][9.0,107][8.88888888888889,135]"
1,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.6,158,"[18.833333333333336,1][13.90909090909091,4][13.6,91]"
2,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,11,"[18.833333333333336,1][13.90909090909091,3]"
3,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,18.833333333333300,1,"[18.833333333333336,1]"
4,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.6,181,"[18.833333333333336,1][13.90909090909091,10][13.6,51]"
5,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,185,"[18.833333333333336,1][13.90909090909091,6]"
6,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,100,"[18.833333333333336,1][13.90909090909091,6]"
7,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,561,"[18.833333333333336,1][13.90909090909091,6]"
8,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,255,"[18.833333333333336,1][13.90909090909091,6]"
9,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,146,"[18.833333333333336,1][13.90909090909091,6]"
10,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,-1,0,
11,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.6,169,"[18.833333333333336,1][13.90909090909091,6][13.6,59]"
12,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,18.833333333333300,2,"[18.833333333333336,1]"
13,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,13.90909090909090,108,"[18.833333333333336,1][13.90909090909091,11]"
14,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,18.833333333333300,1,"[18.833333333333336,1]"
15,elasticsearch,ES-19891,2.3.3,java.lang.ArrayIndexOutOfBoundsException,18,62328,-1,0,
