execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,covered_goals,covered_goals_evolution
30,chart,CHART-13b,13b,java.lang.IllegalArgumentException,4,62328,1.3333333333333300,902,"[1.6666666666666665,1][1.6,2][1.3333333333333333,4]",12/28,"[0/28,1][9/28,2][10/28,3][12/28,404]"
1,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
2,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
3,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
4,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,5,62328,-1,0,,,
